id,name,team,Salary,Salary.1,Salary.2,Salary.3,Salary.4,Salary.5,Unnamed: 9,-additional,Note
50,Khris Middleton,WAS,$33296296,,,,,,$33296296,middlkh01,"['Exercised player option June 23, 2025', 'Traded from MIL to WAS February 6, 2025', '2025-26 is a player option', 'Signed 3-yr/$102M contract July 6, 2023']"
51,Immanuel Quickley,TOR,$32500000,$32500000,$32500000,$32500000,,,$130000000,quickim01,"['Signed 5-yr/$175M contract July 8, 2024']"
52,Jrue Holiday,POR,$32400000,$34800000,$37200000,,,,$67200000,holidjr01,"['Traded from BOS to POR July 7, 2025', 'Signed 4-yr/$135M contract extension April 11, 2024']"
53,Jerami Grant,POR,$32000001,$34206898,$36413790,,,,$66206899,grantje01,"['2027-28 is a player option', 'Signed 5-yr/$160M contract July 9, 2023']"
54,Jordan Poole,NOP,$31848215,$34044642,,,,,$65892857,poolejo01,"['Traded from WAS to NOP July 6, 2025', 'Traded from GSW to WAS July 6, 2023', 'Signed 4-yr/$140M rookie scale extension October 15, 2022']"
55,Dejounte Murray,NOP,$31557103,$33597072,$31619506,,,,$65154175,murrade01,"['Traded from ATL to NOP July 6, 2024', '2027-28 is a player option', 'Signed 4-yr/$114M contract extension July 9, 2023']"
56,Tyler Herro,MIA,$31000000,$33000000,,,,,$64000000,herroty01,"['Signed 4-yr/$120M contract extension October 2, 2022']"
57,Kristaps Porziņģis,ATL,$30731707,,,,,,$30731707,porzikr01,
58,CJ McCollum,WAS,$30666666,,,,,,$30666666,mccolcj01,"['Traded from NOP to WAS July 6, 2025', 'Signed 2-yr/$64M contract extension September 26, 2022']"
59,Jalen Johnson,ATL,$30000000,$30000000,$30000000,$30000000,$30000000,,$150000000,johnsja05,"['Signed 5-yr/$150M contract extension October 21, 2024']"
60,Isaiah Hartenstein,OKC,$28500000,$28500000,,,,,$28500000,harteis01,"['2026-27 is a team option', 'Signed 3-yr/$87M contract July 6, 2024']"
