Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
86,Joe Ingles,37.0,19,1,114,6,23,0.261,3,15,0.2,3,8,0.375,0.326,0,0,,2,9,11,23,2,0,9,12,15,0,,inglejo01,Minnesota Timberwolves
87,PJ Dozier,28.0,9,0,35,2,3,0.667,2,3,0.667,0,0,,1.0,1,6,0.167,1,4,5,5,1,0,1,3,7,0,,doziepj01,Minnesota Timberwolves
88,Leonard Miller,21.0,13,0,32,6,15,0.4,0,5,0.0,6,10,0.6,0.4,8,8,1.0,3,8,11,0,2,1,2,2,20,0,,millele01,Minnesota Timberwolves
89,Bones Hyland,24.0,4,0,17,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,1,1,4,0,0,1,3,5,0,,hylanbo01,Minnesota Timberwolves
90,Daishen Nix,22.0,3,0,13,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,0,4,4,3,0,0,4,1,1,0,,nixda01,Minnesota Timberwolves
91,Tristen Newton,23.0,3,0,8,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,2,2,4,1,1,0,1,2,0,0,,newtotr01,Minnesota Timberwolves
92,Jesse Edwards,24.0,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,0,,edwarje01,Minnesota Timberwolves
93,Team Totals,,82,82,19830,3364,7182,0.468,1233,3269,0.377,2131,3913,0.545,0.554,1411,1789,0.789,908,2726,3634,2142,654,406,1127,1498,9372,0,,-9999,Minnesota Timberwolves
94,James Harden,35.0,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802,3,MVP-10ASNBA3,hardeja01,Los Angeles Clippers
95,Ivica Zubac,27.0,80,80,2624,592,942,0.628,0,0,,592,942,0.628,0.628,156,236,0.661,300,710,1010,214,55,90,127,168,1340,1,DPOY-6DEF2,zubaciv01,Los Angeles Clippers
