team,year,round,details
Golden State Warriors Future NBA Draft Picks,2028,First,Own 1
Golden State Warriors Future NBA Draft Picks,2028,Second,To PHL (via POR to WAS) 0
Golden State Warriors Future NBA Draft Picks,2029,First,Own 1
Golden State Warriors Future NBA Draft Picks,2029,Second,To BRK 0
Golden State Warriors Future NBA Draft Picks,2030,First,1-20 Own; 21-30 to WAS 1
Golden State Warriors Future NBA Draft Picks,2030,Second,To WAS if GOS does not convey 1st round pick to WAS in 2030 1
Golden State Warriors Future NBA Draft Picks,2031,First,Own 1
Golden State Warriors Future NBA Draft Picks,2031,Second,More favorable of GOS and MIN to MIN then other to DET (via MIN swap for GOS) 0
Golden State Warriors Future NBA Draft Picks,2032,First,Own 1
Golden State Warriors Future NBA Draft Picks,2032,Second,31-50 Own; 51-60 to MEM 1
Houston Rockets Future NBA Draft Picks,2026,First,"1-4 Own; two most / more favorable of HOU 5-30, LAC and OKC to OKC then other to WAS (via OKC to PHL) 1"
Houston Rockets Future NBA Draft Picks,2026,Second,To OKC if HOU 1-4 in 2026 ; CHI (via WAS) 1 + 1
Houston Rockets Future NBA Draft Picks,2027,First,Own or swap for BRK ; PHX (via BRK) 2
Houston Rockets Future NBA Draft Picks,2027,Second,"Most favorable of HOU, OKC, IND and MIA to OKC; second and third most favorable to NYK; more favorable of (i) SAN and (ii) least favorable of HOU, OKC, IND and MIA to SAN then least favorable of all to MIA (via HOU to DET to OKC to NYK; via MIA to OKC to UTH to SAN to MIA) ; MEM (via LAC) ; Less favorable of POR and NOP if either or both 56-60 (via POR to BOS) 1 + 1"
Houston Rockets Future NBA Draft Picks,2028,First,Own 1
Houston Rockets Future NBA Draft Picks,2028,Second,Own (via ATL) 1
Houston Rockets Future NBA Draft Picks,2029,First,"Two most favorable of HOU, DAL and PHX then other to BRK (via DAL and PHX to BRK; via DAL or PHX to HOU; via HOU swap for DAL or PHX) 2"
Houston Rockets Future NBA Draft Picks,2029,Second,To WAS (via OKC) ; SAC (via WAS) 1
Houston Rockets Future NBA Draft Picks,2030,First,Own 1
Houston Rockets Future NBA Draft Picks,2030,Second,To OKC 0
Houston Rockets Future NBA Draft Picks,2031,First,Own 1
Houston Rockets Future NBA Draft Picks,2031,Second,31-55 Own or ATL (via ATL swap for HOU) ; 56-60 to BOS 1
Houston Rockets Future NBA Draft Picks,2032,First,Own 1
Houston Rockets Future NBA Draft Picks,2032,Second,More favorable of HOU and PHX to MIN then other to PHX (via PHX) 0
Indiana Pacers Future NBA Draft Picks,2026,First,Own (via TOR to NOP) 1
Indiana Pacers Future NBA Draft Picks,2026,Second,More favorable of (i) SAN and (ii) less favorable of IND and MIA to SAN then least favorable of all to MIN; less favorable of (i) BOS and (ii) more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK [MEM can swap this pick for LAC; LAC then conveyed to HOU which then conveyed to BRK] (via MIA to IND; via SAN swap for IND or MIA; via MIL to MEM; via MEM swap of IND or MIA for BOS; via BOS to ATL) ; TOR 56-60 1
Indiana Pacers Future NBA Draft Picks,2027,First,Own 1
Indiana Pacers Future NBA Draft Picks,2027,Second,"Most favorable of IND, OKC, HOU and MIA to OKC; second and third most favorable to NYK; more favorable of (i) SAN and (ii) least favorable of IND, OKC, HOU and MIA to SAN then least favorable of all to MIA (via HOU to DET to OKC to NYK; via MIA to OKC to UTH to SAN to MIA) ; UTH (via CLE) 1"
Indiana Pacers Future NBA Draft Picks,2028,First,Own 1
Indiana Pacers Future NBA Draft Picks,2028,Second,More favorable of IND and PHX then other to NYK (via IND) ; DAL (via SAC) 2
Indiana Pacers Future NBA Draft Picks,2029,First,Own 1
Indiana Pacers Future NBA Draft Picks,2029,Second,More favorable of IND and WAS then other to POR (via IND to NYK) 1
Indiana Pacers Future NBA Draft Picks,2030,First,Own 1
Indiana Pacers Future NBA Draft Picks,2030,Second,Own 1
Indiana Pacers Future NBA Draft Picks,2031,First,Own 1
Indiana Pacers Future NBA Draft Picks,2031,Second,"Least favorable of IND, MIA and MEM; more favorable of IND and MIA to WAS; more favorable of (i) MEM and (ii) less favorable of IND and MIA to MEM (via MIA swap for IND; via UTH to WAS; via MEM swap for IND or MIA) 1"
Indiana Pacers Future NBA Draft Picks,2032,First,Own 1
Indiana Pacers Future NBA Draft Picks,2032,Second,Own 1
Los Angeles Clippers Future NBA Draft Picks,2026,First,"Two most / more favorable of LAC, HOU 5-30 and OKC to OKC then other to WAS (via OKC to PHL) 0"
